countriesAndTerritories,country,iso3,unregion,unsubregion
Saudi_Arabia,Saudi Arabia,SAU,Asia,Western Asia
Senegal,Senegal,SEN,Africa,Western Africa
Serbia,Serbia,SRB,Europe,Southern Europe
Seychelles,Seychelles,SYC,Africa,Eastern Africa
Sierra_Leone,Sierra Leone,SLE,Africa,Western Africa
Singapore,Singapore,SGP,Asia,South-Eastern Asia
Slovakia,Slovakia,SVK,Europe,Eastern Europe
Slovenia,Slovenia,SVN,Europe,Southern Europe
Somalia,Somalia,SOM,Africa,Eastern Africa
South_Africa,South Africa,ZAF,Africa,Southern Africa
South_Korea,"Korea, Republic of",KOR,Asia,Eastern Asia
South_Sudan,South Sudan,SSD,Africa,Northern Africa
Spain,Spain,ESP,Europe,Southern Europe
Sri_Lanka,Sri Lanka,LKA,Asia,Southern Asia
Sudan,Sudan,SDN,Africa,Northern Africa
Suriname,Suriname,SUR,Americas,South America
Eswatini,Swaziland,SWZ,Africa,Southern Africa
Sweden,Sweden,SWE,Europe,Northern Europe
Switzerland,Switzerland,CHE,Europe,Western Europe
Syria,Syria,SYR,Asia,Western Asia
United_Republic_of_Tanzania,Tanzania,TZA,Africa,Eastern Africa
Thailand,Thailand,THA,Asia,South-Eastern Asia
Timor_Leste,Timor Leste,TLS,Asia,South-Eastern Asia
Togo,Togo,TGO,Africa,Western Africa
Trinidad_and_Tobago,Trinidad and Tobago,TTO,Americas,Caribbean
Tunisia,Tunisia,TUN,Africa,Northern Africa
Turkey,Turkey,TUR,Asia,Western Asia
Uganda,Uganda,UGA,Africa,Eastern Africa
Ukraine,Ukraine,UKR,Europe,Eastern Europe
United_Arab_Emirates,United Arab Emirates,ARE,Asia,Western Asia
United_Kingdom,United Kingdom,GBR,Europe,Northern Europe
United_States_of_America,United States,USA,Americas,Northern America
Uzbekistan,Uzbekistan,UZB,Asia,Central Asia
San_Marino,San Marino,SMR,Europe,Southern Europe
Venezuela,Venezuela,VEN,Americas,South America
Vietnam,Vietnam,VNM,Asia,South-Eastern Asia
Yemen,Yemen,YEM,Asia,Western Asia
Zambia,Zambia,ZMB,Africa,Eastern Africa
Zimbabwe,Zimbabwe,ZWE,Africa,Eastern Africa
Aruba,Aruba,ABW,Americas,Caribbean
Bermuda,Bermuda,BMU,Americas,Northern America
British_Virgin_Islands,British Virgin Islands,VGB,Americas,Caribbean
Cayman_Islands,Cayman Islands,CYM,Americas,Caribbean
Curaçao,Curacao,CUW,Americas,Caribbean
Faroe_Islands,Faroe Islands,FRO,Europe,Northern Europe
Gibraltar,Gibraltar,GIB,Europe,Southern Europe
Greenland,Greenland,GRL,Americas,Northern America
Guam,Guam,GUM,Oceania,Micronesia
Guernsey,Guernsey,GGY,Europe,Northern Europe
Isle_of_Man,Isle of Man,IMN,Europe,Northern Europe
Jersey,Jersey,JEY,Europe,Northern Europe
Montserrat,Montserrat,MSR,Americas,Caribbean
New_Caledonia,New Caledonia,NCL,Oceania,Melanesia
Northern_Mariana_Islands,Northern Mariana Islands,MNP,Oceania,Micronesia
French_Polynesia,"Polynesia, French",PYF,Oceania,Polynesia
Puerto_Rico,Puerto Rico,PRI,Americas,Caribbean
Sint_Maarten,Sint Maarten,SXM,Americas,Caribbean
Turks_and_Caicos_islands,Turks and Caicos Islands,TCA,Americas,Caribbean
United_States_Virgin_Islands,U.S. Virgin Islands,VIR,Americas,Caribbean
Taiwan,Taiwan,TWN,Asia,Eastern Asia
Holy_See,Holy See,VAT,Europe,Southern Europe
Kosovo,Kosovo,XKX,Europe,Southern Europe
Palestine,Palestine,PSE,Asia,Western Asia
Anguilla,Anguilla,AIA,Americas,Caribbean
"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba",BES,Americas,Caribbean
Cases_on_an_international_conveyance_Japan,,,,
Falkland_Islands_(Malvinas),Falkland Islands (Malvinas),FLK,Americas,South America
Namibia,Namibia,NAM,Africa,Southern Africa
